gad_id;ruc;nombre;meses_visto
cant-122;1260001890001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN JACINTO DE BUENA FE;10,11,12
cant-123;1260002190001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MOCACHE;10,11
cant-124;1260000490001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MONTALVO;10,11,12
cant-125;1260001700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PALENQUE;10,11,12
cant-126;1260006340001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SAN FRANCISCO DE PUEBLOVIEJO;11,12
cant-127;1260000650001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN QUEVEDO;12
cant-129;1260000730001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN URDANETA;11,12
cant-131;1260000810001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN VENTANAS;10,11,12
cant-133;1360001600001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN 24 DE MAYO;10,11,12
cant-135;1360000470001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CHONE;10,11,12
cant-136;1360000550001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE EL CARMEN;10,11,12
cant-138;1360020740001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN JAMA;12
cant-14;160000860001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SIGSIG;10,11,12
cant-140;1360000630001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN JIPIJAPA;10,11,12
cant-141;1360000710001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN JUNIN;10,11,12
cant-142;1360000980001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MANTA;10,11,12
cant-144;1360003220001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN OLMEDO-MANABÍ;10,11
cant-145;1360001280001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PAJAN;10,11,12
cant-146;1360002920001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PEDERNALES;10,11,12
cant-147;1360001870001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PICHINCHA;10,11,12
cant-148;1360000200001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PORTOVIEJO;10,11,12
cant-149;1360003300001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PUERTO LOPEZ;11,12
cant-151;1360014850001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SAN VICENTE;10,11,12
cant-152;1360001440001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SANTA ANA;10,11,12
cant-153;1360001520001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SUCRE;10,12
cant-154;1360001790001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN TOSAGUA;10,11,12
cant-155;1460000370001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GUALAQUIZA;10,11,12
cant-156;1460001180001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE HUAMBOYA;11
cant-159;1460000290001;GOBIERNO MUNICIPAL DEL CANTÓN MORONA;10,11,12
cant-16;260000410001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CHILLANES;11,12
cant-161;1460000530001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL Y PLURINACIONAL DEL CANTÓN PALORA;10,11,12
cant-162;1460001260001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN JUAN BOSCO;10,11,12
cant-163;1460000610001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SANTIAGO;10,11
cant-167;1560000430001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ARCHIDONA;10,11,12
cant-168;1560184810001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CARLOS JULIO AROSEMENA TOLA;10,12
cant-170;1560000940001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE QUIJOS;10,11,12
cant-171;1560000270001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE TENA;12
cant-172;1660004910001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL Y PLURINACIONAL DEL CANTÓN ARAJUNO;11,12
cant-173;1660000330001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MERA;10,11,12
cant-174;1660000250001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PASTAZA;10,11,12
cant-175;1660000680001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SANTA CLARA;12
cant-177;1760003760001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MEJÍA;10,11,12
cant-178;1760003840001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PEDRO MONCAYO;10,11,12
cant-179;1760009530001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PEDRO VICENTE MALDONADO;10,11,12
cant-18;260000330001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ECHEANDIA;11
cant-180;1760010700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PUERTO QUITO;10,11,12
cant-182;1760003920001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE RUMIÑAHUI;10,11,12
cant-183;1760008800001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN MIGUEL DE LOS BANCOS;10,11,12
cant-185;1860000480001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BAÑOS DE AGUA SANTA;11,12
cant-186;1860001020001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CEVALLOS;11,12
cant-187;1860000990001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE MOCHA;10,11,12
cant-189;1860000640001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SAN PEDRO DE PELILEO;10,11,12
cant-190;1860000720001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SANTIAGO DE PILLARO;10,11,12
cant-191;1860000800001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SANTIAGO DE QUERO;10,11,12
cant-192;1860001100001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN TISALEO;10,11,12
cant-194;1960000460001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CHINCHIPE;10,11,12
cant-195;1960001190001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE EL PANGUI;10,11,12
cant-198;1960139890001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA;10,12
cant-199;1960000540001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN YACUAMBI;11,12
cant-200;1960000620001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE YANTZAZA;10,11,12
cant-201;1960000380001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA;10,11,12
cant-202;2160000480001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CASCALES;10,11,12
cant-205;1560000510001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO;11
cant-206;2160000130001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PUTUMAYO;12
cant-207;1560001160001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SHUSHUFINDI;10,11,12
cant-208;1560001080001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SUCUMBÍOS;11,12
cant-209;1560000350001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO;10,11,12
cant-210;1560000780001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL FRANCISCO DE ORELLANA;10,11,12
cant-211;1560001590001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LA JOYA DE LOS SACHAS;10,11,12
cant-212;1560001830001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LORETO;10,11,12
cant-213;860040700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LA CONCORDIA;10,11,12
cant-214;1760004060001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SANTO DOMINGO;10,11,12
cant-215;960006340001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LA LIBERTAD;10,11,12
cant-217;960001540001;ILUSTRE MUNICIPALIDAD DE SANTA ELENA;10,11,12
cant-218;2060000310001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ISABELA;11,12
cant-22;360000230001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE AZOGUES;10,11,12
cant-23;360000310001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BIBLIÁN;10,11,12
cant-25;360001120001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN DELEG;11
cant-27;360000660001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL LA TRONCAL;11,12
cant-29;460000720001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BOLIVAR;11,12
cant-30;460000480001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ESPEJO;12
cant-32;460000640001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE MONTUFAR;12
cant-33;460001020001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL SAN PEDRO DE HUACA;10,11,12
cant-34;460000210001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE TULCÁN;10,11,12
cant-35;560000890001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LA MANA;10,11,12
cant-36;560000380001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LATACUNGA;10,11,12
cant-37;560000460001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PANGUA;12
cant-38;560000540001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL DEL CANTÓN PUJILÍ;10,11,12
cant-39;560000620001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SALCEDO;10,11,12
cant-40;560000700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL DEL CANTÓN SAQUISILÍ;10,11,12
cant-41;560001190001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SIGCHOS;10,11,12
cant-42;660000440001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ALAUSÍ;10,11
cant-43;660001680001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CHAMBO;10,11,12
cant-44;660000600001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CHUNCHI;10,11,12
cant-45;660000520001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN COLTA;10,11,12
cant-48;660000870001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN GUANO;10,11,12
cant-49;660001090001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PALLATANGA;10,11,12
cant-5;160002480001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN GUACHAPALA;10,11,12
cant-50;660000950001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PENIPE;10,11,12
cant-51;660000360001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN RIOBAMBA;10,11,12
cant-52;760000420001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ARENILLAS;10,11,12
cant-54;760001310001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE BALSAS PROVINCIA DE EL ORO;10,11,12
cant-56;760000500001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN EL GUABO;10,11,12
cant-57;760000690001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN HUAQUILLAS;11,12
cant-58;760001900001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LAS LAJAS;10,11,12
cant-59;760000260001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE MACHALA;10,12
cant-6;160000430001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN GUALACEO;10,11,12
cant-61;760000770001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PASAJE;10,11,12
cant-62;760000850001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PIÑAS;10,11,12
cant-63;760000930001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PORTOVELO;10,11,12
cant-64;760001070001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SANTA ROSA;10,11,12
cant-66;860001050001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ATACAMES;10,11,12
cant-67;860000320001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ELOY ALFARO;12
cant-68;860000240001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ESMERALDAS;12
cant-69;860000400001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MUISNE;10,11,12
cant-7;160001080001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL NABÓN;10,11,12
cant-71;860001560001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN RIOVERDE;12
cant-73;960001970001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ALFREDO BAQUERIZO MORENO JUJAN;12
cant-74;960002190001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE BALAO;10,11,12
cant-75;960000300001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BALZAR;10,11,12
cant-76;960005290001;Gobierno Autónomo Descentralizado Municipal De Colimes;11,12
cant-77;960006260001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CORONEL MARCELINO MARIDUEÑA;10
cant-79;960001890001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN DURAN;10,11,12
cant-80;968519280001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN EL EMPALME;10,11,12
cant-81;960000650001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN EL TRIUNFO;11,12
cant-82;960001620001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GENERAL ANTONIO ELIZALDE BUCAY;10
cant-83;960000220001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GUAYAQUIL;10,11
cant-84;960006850001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ISIDRO AYORA;10,11,12
cant-86;960000730001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SAN FRANCISCO DE MILAGRO GADMM;10,11,12
cant-87;968532700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN NARANJAL;10,11,12
cant-88;960001030001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN NARANJITO;11,12
cant-89;960006180001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN NOBOL;10,11,12
cant-9;160000510001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PAUTE;10,11,12
cant-90;960005370001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PALESTINA;12
cant-91;960001110001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PEDRO CARBO;10,11,12
cant-92;960005530001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PLAYAS;10,11,12
cant-93;960005880001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SALITRE;10,11,12
cant-94;960001460001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SAMBORONDÓN;10,11,12
cant-95;960002000001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SANTA LUCIA;10,11,12
cant-96;960006420001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SIMÓN BOLÍVAR;10,11,12
cant-97;960001700001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN JACINTO DE YAGUACHI;10,11,12
cant-99;1060000420001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SANTA ANA DE COTACACHI;10,11,12
